血統登録番号,StartDashScore,EarlyTrackingScore,DashMinusTracking,PastPositionScore,HistoryN,StructureSpread,Reliability,Type
2015105105,40.29,51.05,-10.76,36.76,8,0.1848,66.7,追走持続型
2015106299,47.87,53.52,-5.65,47.53,8,0.1669,66.7,バランス型
2014105635,40.18,38.88,1.3,22.82,6,0.1289,60.0,バランス型
2015101982,53.39,58.03,-4.65,58.2,8,0.1306,66.7,バランス型
2015102127,32.34,40.58,-8.24,18.01,8,0.0537,53.2,追走持続型
2015104528,41.73,39.04,2.69,26.75,8,0.0904,66.7,バランス型
2016100682,61.26,55.77,5.49,85.71,1,0.0,7.0,バランス型
2016101075,65.39,63.96,1.43,76.62,8,0.1084,66.7,バランス型
2016103345,49.39,52.15,-2.76,44.99,3,0.0,15.0,バランス型
2016103386,34.87,32.53,2.34,13.32,8,0.2163,66.7,バランス型
2016104665,39.12,43.86,-4.75,28.65,8,0.0902,66.7,バランス型
2016104720,28.73,42.11,-13.38,14.45,8,0.0738,64.3,追走持続型
2016104808,56.58,57.0,-0.42,60.32,8,0.1432,66.7,バランス型
2017103283,58.29,56.16,2.13,63.17,4,0.1041,50.0,バランス型
2017103697,49.05,43.3,5.75,9.09,1,0.0,7.0,バランス型
2017104895,43.02,43.58,-0.56,32.85,8,0.0316,40.9,バランス型
2017101210,45.0,46.75,-1.75,8.33,1,0.0,7.0,バランス型
